Name,Address,Rating,Website,Price,City,State
JW Marriott Nashville,"201 8th Ave S, Nashville, TN 37203, USA",4.6,https://www.marriott.com/en-us/hotels/bnajw-jw-marriott-nashville/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,120,Nashville,TN
Gaylord Opryland Resort & Convention Center,"2800 Opryland Dr, Nashville, TN 37214, USA",4.5,https://www.marriott.com/en-us/hotels/bnago-gaylord-opryland-resort-and-convention-center/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,150,Nashville,TN
"The Joseph, a Luxury Collection Hotel, Nashville","401 Korean Veterans Blvd, Nashville, TN 37203, USA",4.6,https://www.marriott.com/en-us/hotels/bnalj-the-joseph-a-luxury-collection-hotel-nashville/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,135,Nashville,TN
Millennium Hotel Maxwell House Nashville,"2025 Rosa L Parks Blvd, Nashville, TN 37228, USA",3.4,https://www.millenniumhotels.com/en/nashville/millennium-maxwell-house-hotel-nashville/?cid=gplaces-millennium-maxwell-house-hotel-nashville,200,Nashville,TN
Mint House Nashville – Hillsboro Village,"1700 21st Ave S, Nashville, TN 37212, USA",3.2,https://minthouse.com/nashville/hillsboro-village/,230,Nashville,TN
Hilton Nashville Downtown,"121 4th Ave S, Nashville, TN 37201, USA",4.5,https://www.hilton.com/en/hotels/bnanshf-hilton-nashville-downtown/?SEO_id=GMB-AMER-HH-BNANSHF&y_source=1_MTIyMDc4Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,125,Nashville,TN
The Russell,"819 Russell St, Nashville, TN 37206, USA",4.9,https://www.russellnashville.com/,170,Nashville,TN
"Hotel Fraye Nashville, Curio Collection by Hilton","1810 Broadway, Nashville, TN 37203, USA",4.3,https://www.hilton.com/en/hotels/bnamoqq-hotel-fraye-nashville-midtown/?SEO_id=GMB-AMER-QQ-BNAMOQQ&y_source=1_MzkwOTkzMzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,100,Nashville,TN
Sonder at The Saddlery,"133 2nd Ave N, Nashville, TN 37201, USA",4.4,https://www.sonder.com/destinations/nashville/NSH-N-2ND133-502/c31333?utm_source=gmb&utm_medium=organic,185,Nashville,TN
Mint House at The Reserve – Nashville,"301 Rosa L Parks Ave, Nashville, TN 37203, USA",4.4,https://minthouse.com/nashville/reserve/,199,Nashville,TN
Drury Inn & Suites Nashville Airport,"555 Donelson Pike, Nashville, TN 37214, USA",4.5,https://www.druryhotels.com/locations/nashville-tn/drury-inn-and-suites-nashville-airport?utm_campaign=gmb&utm_medium=organic&utm_source=local,120,Nashville,TN
Knights Inn Nashville,"99 Spring St, Nashville, TN 37207, USA",3.4,https://www.knightsinn.com/us/tn/nashville/knights-inn-nashville,150,Nashville,TN
1 Hotel Nashville,"710 Demonbreun St, Nashville, TN 37203, USA",4.2,https://www.1hotels.com/nashville?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,135,Nashville,TN
Sentral SoBro Apartments,"516 Lea Ave, Nashville, TN 37203, USA",4.5,https://www.sentral.com/nashville/sobro?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D?utm_source=google&utm_medium=gbp,200,Nashville,TN
Hyatt House Nashville at Vanderbilt,"2100 Hayes St, Nashville, TN 37203, USA",4.4,https://www.hyatt.com/hyatt-house/en-US/bnaxw-hyatt-house-nashville-at-vanderbilt?%3Fsrc=corp_lclb_google_seo_bnaxw&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,230,Nashville,TN
Graduate by Hilton Nashville,"101 20th Ave N, Nashville, TN 37203, USA",4.3,https://www.hilton.com/en/hotels/bnagngu-graduate-nashville/?SEO_id=GMB-AMER-GU-BNAGNGU&y_source=1_MTA1MzY0NDYzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,125,Nashville,TN
Baymont by Wyndham Goodlettsville/Nashville,"100 Northcreek Blvd, Goodlettsville, TN 37072, USA",3.1,https://www.wyndhamhotels.com/baymont/goodlettsville-tennessee/baymont-goodlettsville-nashville/overview?CID=LC:cfixxwa8fefdt79:50284&iata=00093796,170,Nashville,TN
Comfort Suites At Rivergate Mall,"621 Rivergate Pkwy, Goodlettsville, TN 37072, USA",3.6,https://www.choicehotels.com/tennessee/goodlettsville/comfort-suites-hotels/tn268?mc=llgoxxpx,100,Nashville,TN
Bobby Hotel,"230 4th Ave N, Nashville, TN 37219, USA",4.4,http://www.bobbyhotel.com/,185,Nashville,TN
TownePlace Suites Nashville Midtown,"1500 Charlotte Ave, Nashville, TN 37203, USA",4.2,https://www.marriott.com/en-us/hotels/bnatw-towneplace-suites-nashville-midtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,199,Nashville,TN
The Hermitage Hotel,"231 6th Ave N, Nashville, TN 37219, USA",4.7,https://www.thehermitagehotel.com/,120,Nashville,TN
DoubleTree by Hilton Hotel Nashville Downtown,"315 4th Ave N, Nashville, TN 37219, USA",3.9,https://www.hilton.com/en/hotels/bnadudt-doubletree-nashville-downtown/?SEO_id=GMB-AMER-DT-BNADUDT&y_source=1_MTM3MjU2Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,150,Nashville,TN
Residence Inn by Marriott Nashville Mt. Juliet,"5004 Crossings Cir, Mt. Juliet, TN 37122, USA",4.5,https://www.marriott.com/hotels/travel/bnarj-residence-inn-nashville-mt-juliet/,135,Nashville,TN
Four Seasons Hotel Nashville,"100 Demonbreun St, Nashville, TN 37201, USA",4.6,https://www.fourseasons.com/nashville/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-nsh-hre-mid-seo-na&utm_content=na-na&utm_term=na,200,Nashville,TN
Sonder The Chorus,"1212 9th Ave N, Nashville, TN 37208, USA",4.4,https://www.sonder.com/destinations/nashville/NSH-N-9TH1212/c35230?utm_source=gmb&utm_medium=organic,230,Nashville,TN
TownePlace Suites Nashville Downtown/Capitol District,"310 Gay St, Nashville, TN 37201, USA",4.4,https://www.marriott.com/en-us/hotels/bnatd-towneplace-suites-nashville-downtown-capitol-district/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,125,Nashville,TN
Cambria Hotel Nashville Airport,"44 Rachel Dr, Nashville, TN 37214, USA",4.4,https://www.choicehotels.com/tennessee/nashville/cambria-hotels/tn844?mc=llgoxxpx,170,Nashville,TN
"Holiday Inn Express & Suites Nashville Southeast - Antioch, an IHG Hotel","201 Crossings Pl, Antioch, TN 37013, USA",4.4,https://www.ihg.com/holidayinnexpress/hotels/us/en/nashville/bnacr/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-BNACR,100,Nashville,TN
Hampton Inn & Suites Nashville-Airport,"583 Donelson Pike, Nashville, TN 37214, USA",4.1,https://www.hilton.com/en/hotels/bnahshx-hampton-suites-nashville-airport/?SEO_id=GMB-AMER-HX-BNAHSHX&y_source=1_MjA4NDU4NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,185,Nashville,TN
Sonder Belcourt,"2111 Belcourt Ave #100, Nashville, TN 37212, USA",4.6,https://www.sonder.com/destinations/nashville/NSH-BELC2111/c31330?utm_source=gmb&utm_medium=organic,199,Nashville,TN
Drift Nashville,"10 Interstate Dr, Nashville, TN 37213, USA",4.6,https://www.drifthotels.co/nashville,120,Nashville,TN
La Quinta Inn by Wyndham Nashville South,"4311 Sidco Dr, Nashville, TN 37204, USA",2.7,https://www.wyndhamhotels.com/laquinta/nashville-tennessee/la-quinta-inn-nashville-south/overview?CID=LC:6ysy27krtpcrqev:53136&iata=00093796,150,Nashville,TN
Bode Nashville,"401 President Ronald Reagan Wy, Nashville, TN 37201, USA",4.2,https://www.bode.co/downtown-nashville-hotel/utm_source=ghbp,135,Nashville,TN
Margaritaville Hotel Nashville,"425 Rep. John Lewis Way S, Nashville, TN 37203, USA",4.5,https://www.margaritavilleresorts.com/margaritaville-hotel-nashville?utm_source=local&utm_medium=organic&utm_campaign=website_link,200,Nashville,TN
Days Inn by Wyndham Nashville Saint Thomas West Hospital,"269 White Bridge Rd, Nashville, TN 37209, USA",3,https://www.wyndhamhotels.com/days-inn/nashville-tennessee/days-inn-nashville-saint-thomas-west-hospital/overview?CID=LC:iqv0j1dklijly45:04011&iata=00093796,230,Nashville,TN
Radisson Hotel Nashville Airport,"1112 Airport Center Dr, Nashville, TN 37214, USA",4.1,https://www.choicehotels.com/tennessee/nashville/radisson-hotels/tna30?mc=llgoxxpx,125,Nashville,TN
"Homewood Suites by Hilton Nashville Vanderbilt, TN","2400 West End Ave, Nashville, TN 37203, USA",4.5,https://www.hilton.com/en/hotels/bnavbhw-homewood-suites-nashville-vanderbilt-tn/?SEO_id=GMB-AMER-HG-BNAVBHW&y_source=1_MjA4MzI0OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,170,Nashville,TN
Dream Nashville,"210 4th Ave N, Nashville, TN 37219, USA",4.3,https://www.dreamhotels.com/nashville/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,100,Nashville,TN
Relax Inn of Hendersonville,"179 W Main St, Hendersonville, TN 37075, USA",4.4,http://www.relaxinnmotelhendersonville.com/,185,Nashville,TN
Omni Nashville Hotel,"250 Rep. John Lewis Way S, Nashville, TN 37203, USA",4.5,https://www.omnihotels.com/hotels/nashville?utm_source=gmblisting&utm_medium=organic,199,Nashville,TN
Antioch Quarters Inn and Suites,"1100 Bell Rd, Antioch, TN 37013, USA",2.9,http://www.thequartersinn.com/,120,Nashville,TN
Germantown Inn,"1218 6th Ave N, Nashville, TN 37208, USA",4.8,http://www.germantowninn.com/,150,Nashville,TN
Hyatt Centric Downtown Nashville,"210 Molloy St, Nashville, TN 37201, USA",4.2,https://www.hyatt.com/hyatt-centric/en-US/bnact-hyatt-centric-downtown-nashville?%3Fsrc=corp_lclb_google_seo_bnact&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,135,Nashville,TN
Mason Lofts at West End,"119 Mason Ave, Nashville, TN 37203, USA",4.9,https://masonlofts.com/,200,Nashville,TN
Drake Motel,"420 Murfreesboro Pike, Nashville, TN 37210, USA",3,http://www.drakeinnnashville.com/,230,Nashville,TN
Best Western Plus Executive Residency Nashville Antioch,"510 Collins Park Dr, Antioch, TN 37013, USA",3.9,https://www.bestwestern.com/en_US/book/hotel-rooms.43197.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:43197,125,Nashville,TN
Sonesta ES Suites Nashville Brentwood,"206 Ward Cir, Brentwood, TN 37027, USA",4.1,https://www.sonesta.com/sonesta-es-suites/tn/brentwood/sonesta-es-suites-nashville-brentwood,170,Nashville,TN
Waymore's Guest House & Casual Club,"811 Main St, Nashville, TN 37206, USA",4.5,http://waymoresnashville.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,100,Nashville,TN
Placemakr Music Row,"1600 McGavock St, Nashville, TN 37203, USA",4.3,https://www.placemakr.com/locations/nashville/music-row/?utm_source=GMB&utm_medium=organic&utm_campaign=GMBmsicrow,185,Nashville,TN
Holston House Nashville - The Unbound Collection by Hyatt,"118 7th Ave N, Nashville, TN 37203, USA",4.4,https://www.hyatt.com/en-US/hotel/tennessee/holston-house-nashville/bnaub?%3Fsrc=corp_lclb_google_seo_bnaub&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,199,Nashville,TN
Vandyke Bed and Beverage,"105 S 11th St, Nashville, TN 37206, USA",4.1,N/A,120,Nashville,TN
Fiddler's Inn Opryland/Nashville Airport,"2410 Music Valley Dr, Nashville, TN 37214, USA",3.2,https://www.fiddlersinnopryland.com/,150,Nashville,TN
Ramada by Wyndham Nashville/Music Valley,"2420 Music Valley Dr, Nashville, TN 37214, USA",2.2,https://www.wyndhamhotels.com/ramada/nashville-tennessee/ramada-nashville-music-valley/overview?CID=LC:wmcic5n98gs1g0r:54993&iata=00093796,135,Nashville,TN
Conrad Nashville,"1620 West End Ave, Nashville, TN 37203, USA",4.6,https://www.hilton.com/en/hotels/bnaleci-conrad-nashville/?SEO_id=GMB-AMER-CN-BNALECI&y_source=1_Mjc3MjkzMTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,200,Nashville,TN
The 121 Hotel by AvantStay,"121 30th Ave N, Nashville, TN 37203, USA",4.2,https://avantstay.com/collections/121-hotel?utm_source=gmb&utm_medium=link&utm_campaign=121-hotel,230,Nashville,TN
Canopy by Hilton Nashville Downtown The Gulch,"920 Division St, Nashville, TN 37203, USA",0,https://www.hilton.com/en/hotels/bnaglpy-canopy-nashville-downtown-the-gulch/,125,Nashville,TN
Moxy Nashville Vanderbilt Area,"1911 Belcourt Ave, Nashville, TN 37212, USA",4.2,https://www.marriott.com/en-us/hotels/bnaov-moxy-nashville-vanderbilt-area/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,170,Nashville,TN
Extended Stay America Premier Suites - Nashville - Vanderbilt,"3311 West End Ave, Nashville, TN 37203, USA",3.7,https://www.extendedstayamerica.com/hotels/tn/nashville/vanderbilt?channel=gmb-listing&utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,100,Nashville,TN
Hilton BNA Nashville Airport Terminal,"2 Terminal Dr, Nashville, TN 37214, USA",4.6,https://www.hilton.com/en/hotels/bnahhhh-hilton-bna-nashville-airport-terminal/?SEO_id=GMB-AMER-HH-BNAHHHH&y_source=1_OTgxMzcxNjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,185,Nashville,TN
Red Roof Inn Nashville - Music City,"2407 Brick Church Pike, Nashville, TN 37207, USA",3.2,https://www.redroof.com/property/tn/nashville/RRI777?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI777,199,Nashville,TN